subject,description,category
Help with jeans shopping,Which jeans brand is good and affordable?,Clothes
Parent meeting,Need help preparing for a parent teacher meeting.,School
Help with affordable housing,Need help finding affordable housing options.,Housing
Jogging breathing,How should I breathe while jogging?,Jogging Sports
brain scan,I need advice about brain scan. Do I need a brain scan for recurring headaches?,Brain Medical
Help with hand numbness,My hand feels numb and tingling.,Hand Medical
Help with concussion symptoms,What are signs of a concussion?,Head Medical
school policy,I need advice about school policy. Need information about school attendance policy.,School
learn alphabet,I need advice about learn alphabet. How can my child learn ABC letters?,Elementary Education
Career change,How can I switch from support to software development?,Employment
counseling nearby,I need advice about counseling nearby. Find counseling services for mental health.,Depression Medical
carpal tunnel,I need advice about carpal tunnel. What are symptoms of carpal tunnel?,Hand Medical
Offer decision,Can you help me with this? Need help comparing two employment offers.,Employment
anxiety support,I need advice about anxiety support. Need help dealing with anxiety and stress.,Depression Medical
Help with forehand drills,Need forehand tennis drills.,Tennis Sports
Morning jogging,Can you help me with this? Best morning jogging routine for beginners.,Jogging Sports
Class schedule,Need help understanding school class schedule.,School
investing basics,I need advice about investing basics. How do I start investing as a beginner?,Investing
Entry level job,Need entry-level software developer jobs.,Jobs
Apartment for rent,Need a one bedroom apartment for rent.,Rental
Migraine headache,Can you help me with this? I get severe migraines often.,Brain Medical
Help with find life partner,Looking for matrimonial websites to find a life partner.,Matrimonial
hoodie recommendation,I need advice about hoodie recommendation. I need stylish hoodies for college.,Clothes
Blurred vision,My vision is blurry and unclear.,Eye Medical
tax filing,I need advice about tax filing. Need help filing taxes this year.,Finance
tomato plants,I need advice about tomato plants. How to grow tomatoes in a backyard garden?,Gardening
Help with compare products,Help me compare products before buying.,Shopping
Electronics store,Recommend electronics shopping websites.,Shopping
Leg cramps,Can you help me with this? I get muscle cramps in my legs.,Leg Medical
Help with mental health,Need mental health counseling options.,Depression Medical
Basic math help,Need help teaching addition and subtraction to a child.,Elementary Education
scholarship help,I need advice about scholarship help. Looking for scholarships for international students.,College Admissions
Help with buy laptop,Where can I buy a gaming laptop?,Shopping
Book recommendations,Recommend good mystery novels to read this month.,Books
School uniform,Can you help me with this? Where can I buy school uniforms?,School
phonics practice,I need advice about phonics practice. Looking for phonics activities for children.,Elementary Education
cover letter,I need advice about cover letter. Help me write a professional cover letter.,Employment
Biology notes,Need notes on cells and genetics.,High School Education
emergency fund,I need advice about emergency fund. How much should I keep in an emergency fund?,Finance
Help with full time role,Looking for full-time employment after graduation.,Employment
Down payment,Need advice saving for a house down payment.,Housing
cricket bat,I need advice about cricket bat. Best cricket bat for beginners.,Cricket Sports
baseball glove,I need advice about baseball glove. Need recommendations for baseball gloves.,Baseball Sports
Help with mutual funds,Need advice about mutual fund investing.,Investing
Basketball tournament,Find local basketball tournaments.,Basketball Sports
Help with serve tips,How do I improve my tennis serve?,Tennis Sports
Need shelter,I need emergency shelter tonight.,Homelessness
Novel suggestions,Suggest some popular fiction novels.,Books
wire transfer question,I need advice about wire transfer question. I need to send money through a bank wire transfer.,Banking
World cup,Latest cricket world cup updates.,Cricket Sports
Return item,How do I return an item I bought online?,Shopping
Flower garden,Need tips for growing flowers at home.,Gardening
Help with cover letter,Help me write a professional cover letter.,Employment
Help with chicken recipe,How should I cook chicken breast properly?,Cooking
Help with feeling depressed,I feel sad and hopeless every day.,Depression Medical
Spelling help,My child needs help with spelling words.,Elementary Education
Help with depression symptoms,What are symptoms of depression?,Depression Medical
Price deal,Find the best price for a product.,Shopping
joint pain,I need advice about joint pain. My finger joints hurt in the morning.,Hand Medical
Database class,Can you help me with this? Help understanding database normalization.,University Education
Help with matchmaking advice,How should I evaluate a matrimonial match?,Matrimonial
Help with high school exams,How should I prepare for board exams?,High School Education
School uniform,Where can I buy school uniforms?,School
Help with jogging fitness,Use jogging to improve fitness.,Jogging Sports
Help with vegan food,Need vegan food places nearby.,Food
Landmarks,Famous landmarks tourists should see.,Tourism
Help with eye doctor,Need an ophthalmologist recommendation.,Eye Medical
Fractions help,Can you help me with this? Need help understanding fractions and decimals.,Middle School Education
Help with rental listing,Find rental properties near downtown.,Rental
Basic math help,Can you help me with this? Need help teaching addition and subtraction to a child.,Elementary Education
Pasta recipe,Can you help me with this? How do I cook creamy pasta at home?,Cooking
Neurologist help,Can you help me with this? Need a recommendation for a brain specialist.,Brain Medical
Budget planning,Can you help me with this? How can I manage my monthly expenses?,Finance
family marriage,I need advice about family marriage. How to discuss arranged marriage with family?,Matrimonial
NBA highlights,Can you help me with this? Show latest basketball game highlights.,Basketball Sports
Buy house,Can you help me with this? I want advice for buying my first home.,Housing
Dividend stocks,Can you help me with this? What are good dividend stocks?,Stocks
Parent meeting,Can you help me with this? Need help preparing for a parent teacher meeting.,School
School bus,Can you help me with this? How do I register for school bus service?,School
Help with trading app,Best apps for stock trading.,Stocks
Baseball tournament,Find local baseball tournaments.,Baseball Sports
Learn alphabet,Can you help me with this? How can my child learn ABC letters?,Elementary Education
credit card payment,I need advice about credit card payment. I want to pay my credit card bill through my bank app.,Banking
Help with panic attacks,How can I manage panic attacks?,Depression Medical
Garden pests,How can I remove pests from my plants?,Gardening
Help with tourist visa,Need help with tourist visa requirements.,Travel
Help with guided tour,Looking for guided city tours.,Tourism
tennis shoes,I need advice about tennis shoes. Best shoes for tennis court.,Tennis Sports
Help with formal shirt,Looking for formal shirts for office interviews.,Clothes
Help with tennis racket,Best tennis racket for beginners.,Tennis Sports
Scalp pain,Can you help me with this? My scalp hurts after an injury.,Head Medical
Buy house,I want advice for buying my first home.,Housing
Grand slam,Can you help me with this? Latest tennis grand slam updates.,Tennis Sports
Mental health,Need mental health counseling options.,Depression Medical
Grade 7 math,Can you help me with this? Need help solving middle school algebra problems.,Middle School Education
Wire transfer question,Can you help me with this? I need to send money through a bank wire transfer.,Banking
Help with history essay,Need help structuring a history essay.,High School Education
Part time job,Looking for part-time jobs near me.,Jobs
Help with workplace communication,Need help writing a professional work email.,Employment
Hockey drills,Can you help me with this? Need hockey team practice drills.,Hockey Sports
dinner ideas,I need advice about dinner ideas. Need easy dinner recipes for beginners.,Cooking
Wrist pain,My wrist hurts after typing all day.,Hand Medical
Checking account fees,I want to understand monthly fees on my checking account.,Banking
mutual funds,I need advice about mutual funds. Need advice about mutual fund investing.,Investing
basketball tournament,I need advice about basketball tournament. Find local basketball tournaments.,Basketball Sports
Help with contact lens issue,My contact lenses are irritating my eyes.,Eye Medical
Help with jogging breathing,How should I breathe while jogging?,Jogging Sports
affordable housing,I need advice about affordable housing. Need help finding affordable housing options.,Housing
Tourist attractions,Best tourist attractions in New York.,Tourism
marriage matching,I need advice about marriage matching. Need help with marriage matchmaking.,Matrimonial
Hip pain,Can you help me with this? My hip and upper leg hurt while walking.,Leg Medical
Vegetarian food,Can you help me with this? Suggest vegetarian recipes with vegetables and rice.,Cooking
Help with find roommates,Looking for roommates for a shared rental.,Rental
Help with partner search,Need advice for finding a serious life partner.,Matrimonial
garden pests,I need advice about garden pests. How can I remove pests from my plants?,Gardening
baseball batting,I need advice about baseball batting. How can I improve my baseball batting?,Baseball Sports
dessert place,I need advice about dessert place. Best dessert shops in the city.,Food
Thumb pain,My thumb hurts when I move it.,Hand Medical
Help with dizziness issue,I feel dizzy and have trouble concentrating.,Brain Medical
Grammar practice,Middle school English grammar exercises needed.,Middle School Education
Checking account fees,Can you help me with this? I want to understand monthly fees on my checking account.,Banking
Running endurance,Can you help me with this? Tips to build running endurance.,Running Sports
Help with burger recommendation,Looking for the best burger restaurant.,Food
Cricket academy,Find a cricket coaching academy nearby.,Cricket Sports
Social studies,Help with middle school social studies homework.,Middle School Education
Help with leg fracture,I think I may have fractured my leg.,Leg Medical
Help with goalkeeping handball,Tips for handball goalkeeper practice.,Handball Sports
Workplace communication,Can you help me with this? Need help writing a professional work email.,Employment
Blurred vision,Can you help me with this? My vision is blurry and unclear.,Eye Medical
Stock risk,Can you help me with this? What are risks of trading stocks?,Stocks
Help with data structures,Need help with algorithms and data structures.,University Education
Therapy help,Can you help me with this? Looking for a therapist for depression.,Depression Medical
Sprint practice,How can I improve sprint speed?,Running Sports
sat preparation,I need advice about sat preparation. I want to prepare for the SAT exam.,College Admissions
Help with carpal tunnel,What are symptoms of carpal tunnel?,Hand Medical
Help with basketball shoes,Best basketball shoes for indoor court.,Basketball Sports
Tennis tournament,Find local tennis tournaments.,Tennis Sports
Help with winter jacket,Need a warm winter jacket for cold weather.,Clothes
tourist attractions,I need advice about tourist attractions. Best tourist attractions in New York.,Tourism
machine learning course,I need advice about machine learning course. Looking for university-level AI and ML courses.,University Education
throwing practice,I need advice about throwing practice. How to improve handball throwing power?,Handball Sports
indian restaurant,I need advice about indian restaurant. Recommend Indian food near me.,Food
College application,Can you help me with this? I need help applying to universities for admission.,College Admissions
Discount coupon,Need discount coupons and deals.,Shopping
Help with pitching practice,Tips to improve baseball pitching.,Baseball Sports
nba highlights,I need advice about nba highlights. Show latest basketball game highlights.,Basketball Sports
ice hockey,I need advice about ice hockey. Tips for ice hockey skating practice.,Hockey Sports
Hand numbness,My hand feels numb and tingling.,Hand Medical
Help with beach vacation,Best beach vacation places for couples.,Travel
shooting tips,I need advice about shooting tips. How do I improve basketball shooting?,Basketball Sports
